id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_026	17	32	11.532933000	0.360404156	1	4	32	32	0.111142011	-0.067312361	640	637	0.995312500	32	32	1.000000000	637	576	0.904238619	637	0.790289909	0.360386083	6023	5438	0.902872323
case_027	14	32	20.662467827	0.645702120	1	15	32	32	0.143312479	-0.082194558	640	636	0.993750000	32	32	1.000000000	636	584	0.918238994	636	0.793842383	0.390522298	6004	5457	0.908894071
case_028	16	32	6.834894039	0.213590439	1	15	32	32	0.037713820	0.010385049	640	636	0.993750000	32	31	0.968750000	636	585	0.919811321	636	0.509677859	-0.204869533	6005	5572	0.927893422
case_029	18	32	12.366322927	0.386447591	1	8	32	32	0.079387306	-0.016068907	640	640	1.000000000	32	31	0.968750000	640	574	0.896875000	640	0.522314685	0.046162818	6080	5548	0.912500000
case_030	23	32	5.365509749	0.167672180	1	11	32	32	0.017539821	0.010465129	640	636	0.993750000	32	32	1.000000000	636	586	0.921383648	636	0.641524862	-0.264726453	6004	5475	0.911892072
case_031	22	32	8.607187867	0.268974621	1	4	32	32	0.049646147	-0.030371975	640	636	0.993750000	32	30	0.937500000	636	572	0.899371069	636	0.577163481	-0.338520446	6004	5515	0.918554297
case_032	18	32	2.178845216	0.068088913	1	30	32	32	0.029758757	-0.005568871	640	637	0.995312500	32	31	0.968750000	637	581	0.912087912	637	0.738624445	0.466943900	6023	5557	0.922629919
case_033	15	32	0.756091208	0.023627850	1	32	32	32	0.042191389	0.039960834	640	631	0.985937500	32	31	0.968750000	631	580	0.919175911	631	0.781909732	-0.195414466	5910	5368	0.908291032
case_034	22	32	9.249625453	0.289050795	1	14	32	32	0.060836023	-0.030720178	640	639	0.998437500	32	31	0.968750000	639	593	0.928012520	639	0.643068312	0.183354158	6061	5515	0.909915855
case_035	23	32	5.002630294	0.156332197	1	18	32	32	0.038862597	-0.015678367	640	632	0.987500000	32	31	0.968750000	632	590	0.933544304	632	0.544509911	0.138331750	5929	5543	0.934896273
case_036	21	32	1.693119534	0.052909985	1	15	32	32	0.044612440	0.041653290	640	637	0.995312500	32	31	0.968750000	637	589	0.924646782	637	0.584074286	0.264840636	6023	5583	0.926946704
case_037	18	32	7.958264786	0.248695775	1	4	32	32	0.138924638	-0.136764579	640	636	0.993750000	32	30	0.937500000	636	585	0.919811321	636	0.697835513	-0.031823271	6004	5469	0.910892738
case_038	26	32	1.984355738	0.062011117	1	20	32	32	0.014597894	-0.008946583	640	637	0.995312500	32	32	1.000000000	637	571	0.896389325	637	0.708698344	0.166308552	6023	5461	0.906691018
case_039	23	32	4.893772644	0.152930395	1	18	32	32	0.041906796	0.037380476	640	640	1.000000000	32	32	1.000000000	640	579	0.904687500	640	0.846733325	0.334009127	6080	5438	0.894407895
case_040	21	32	7.720870188	0.241277193	0	0	32	32	0.051972961	0.020988707	640	639	0.998437500	32	31	0.968750000	639	584	0.913928013	639	0.504861603	-0.017478203	6061	5587	0.921795083
case_041	15	32	12.239739671	0.382491865	1	16	32	32	0.117905907	0.014760772	640	640	1.000000000	32	30	0.937500000	640	593	0.926562500	640	0.571898381	0.086722534	6080	5527	0.909046053
case_042	14	32	11.852671719	0.370395991	1	8	32	32	0.104619547	-0.049617015	640	638	0.996875000	32	31	0.968750000	638	597	0.935736677	638	0.519938389	0.103726806	6042	5641	0.933631248
case_043	18	32	1.772414547	0.055387955	0	0	32	32	0.001532830	0.000856981	640	628	0.981250000	32	32	1.000000000	628	581	0.925159236	628	0.487231725	-0.174682315	5852	5331	0.910970608
case_044	20	32	13.189070210	0.412158444	1	4	32	32	0.116171041	-0.026718913	640	636	0.993750000	32	30	0.937500000	636	586	0.921383648	636	0.402953784	0.018965679	6004	5444	0.906728847
case_045	18	32	17.227250881	0.538351590	1	15	32	32	0.056055612	0.001881008	640	639	0.998437500	32	30	0.937500000	639	578	0.904538341	639	0.547634464	-0.037576941	6061	5558	0.917010394
case_046	19	32	2.837504304	0.088672010	1	17	32	32	0.013583474	-0.005383117	640	633	0.989062500	32	31	0.968750000	633	586	0.925750395	633	0.484552066	0.116923411	5947	5533	0.930385068
case_047	16	32	11.611400279	0.362856259	1	9	32	32	0.099528733	0.014728190	640	635	0.992187500	32	31	0.968750000	635	570	0.897637795	635	0.773554874	0.201981828	5985	5424	0.906265664
case_048	18	32	8.964884936	0.280152654	1	1	32	32	0.078609651	0.067779324	640	639	0.998437500	32	32	1.000000000	639	588	0.920187793	639	0.615626279	-0.403023723	6061	5538	0.913710609
case_049	18	32	12.462641668	0.389457552	1	10	32	32	0.086567376	-0.007165843	640	639	0.998437500	32	29	0.906250000	639	588	0.920187793	639	0.620881779	-0.232286107	6061	5531	0.912555684
case_050	27	32	4.887412136	0.152731629	1	1	32	32	0.099964802	-0.013291518	640	638	0.996875000	32	29	0.906250000	638	562	0.880877743	638	0.854659406	0.383010956	6042	5389	0.891923204
case_051	21	32	7.581360630	0.236917520	1	18	32	32	0.063701075	0.009112147	640	634	0.990625000	32	31	0.968750000	634	574	0.905362776	634	0.720571932	-0.194492735	5969	5398	0.904339085
case_052	19	32	2.680166057	0.083755189	1	27	32	32	0.049236452	-0.002386596	640	639	0.998437500	32	31	0.968750000	639	590	0.923317684	639	0.716364226	-0.168128831	6061	5565	0.918165319
case_053	22	32	5.986107075	0.187065846	0	0	32	32	0.041382196	-0.017047556	640	632	0.987500000	32	32	1.000000000	632	578	0.914556962	632	1.144346405	1.063925796	5928	5410	0.912618084
case_054	24	32	1.696861897	0.053026934	1	32	32	32	0.004576970	0.001281228	640	640	1.000000000	32	32	1.000000000	640	586	0.915625000	640	0.609449500	-0.095870856	6080	5582	0.918092105
case_055	25	32	2.552433409	0.079763544	1	12	32	32	0.046739905	0.011614649	640	639	0.998437500	32	32	1.000000000	639	568	0.888888889	639	1.078298906	0.498050932	6061	5200	0.857944234
case_056	18	32	3.409299145	0.106540598	1	17	32	32	0.040242544	0.037318015	640	639	0.998437500	32	32	1.000000000	639	586	0.917057903	639	0.815216487	-0.186442787	6061	5463	0.901336413
case_057	22	32	4.987188088	0.155849628	1	20	32	32	0.056353128	-0.010880785	640	638	0.996875000	32	32	1.000000000	638	568	0.890282132	638	0.895509983	0.214032490	6042	5408	0.895067858
case_058	25	32	2.033060982	0.063533156	1	32	32	32	0.022234599	0.004271610	640	639	0.998437500	32	31	0.968750000	639	581	0.909233177	639	0.794603483	0.132615088	6061	5494	0.906451081
case_059	23	32	11.324097987	0.353878062	0	0	32	32	0.039549612	-0.022759562	640	636	0.993750000	32	32	1.000000000	636	571	0.897798742	636	0.782862982	-0.382326186	6010	5387	0.896339434
case_060	17	32	1.724904342	0.053903261	0	0	32	32	0.017623492	0.000621203	640	625	0.976562500	32	32	1.000000000	625	587	0.939200000	625	0.568841661	0.481261663	5795	5365	0.925798102
case_061	16	32	9.200927473	0.287528984	1	10	32	32	0.043763383	0.031081446	640	635	0.992187500	32	32	1.000000000	635	603	0.949606299	635	0.436791943	-0.051754206	5986	5618	0.938523221
case_062	14	32	7.719681830	0.241240057	1	12	32	32	0.084827320	-0.065394866	640	632	0.987500000	32	32	1.000000000	632	594	0.939873418	632	0.647053308	0.310260330	5928	5469	0.922570850
case_063	15	32	7.136018425	0.223000576	1	13	32	32	0.058778403	-0.038524023	640	636	0.993750000	32	31	0.968750000	636	586	0.921383648	636	0.445447597	-0.115799616	6004	5656	0.942038641
case_064	12	32	10.133896186	0.316684256	1	9	32	32	0.095527550	0.012066129	640	637	0.995312500	32	29	0.906250000	637	593	0.930926217	637	0.583315489	0.239596668	6023	5664	0.940395152
case_065	15	32	2.971339627	0.092854363	1	1	32	32	0.029818624	-0.027378467	640	623	0.973437500	32	32	1.000000000	623	584	0.937399679	623	0.591540972	0.302056372	5767	5347	0.927171840
case_066	16	32	14.908710806	0.465897213	1	13	32	32	0.050421699	-0.034411333	640	635	0.992187500	32	31	0.968750000	635	596	0.938582677	635	0.519185855	-0.263850578	5985	5626	0.940016708
case_067	17	32	10.488439281	0.327763728	1	20	32	32	0.070120925	-0.007546191	640	639	0.998437500	32	31	0.968750000	639	584	0.913928013	639	0.527712248	0.086081937	6061	5590	0.922290051
case_068	17	32	9.494167311	0.296692728	1	14	32	32	0.070869411	-0.068899308	640	637	0.995312500	32	31	0.968750000	637	580	0.910518053	637	0.573085659	-0.049302250	6023	5555	0.922297858
case_069	18	32	11.812563342	0.369142604	1	12	32	32	0.102449720	-0.026500487	640	638	0.996875000	32	27	0.843750000	638	592	0.927899687	638	0.565750021	0.238417319	6042	5594	0.925852367
case_070	24	32	5.473711906	0.171053497	1	3	32	32	0.037540657	-0.011199008	640	627	0.979687500	32	32	1.000000000	627	584	0.931419458	627	0.496522751	0.130671219	5833	5374	0.921309789
