id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_063	15	32	13.487138208	0.421473069	1	9	32	32	0.238415720	-0.236996516	640	636	0.993750000	32	30	0.937500000	636	530	0.833333333	636	1.325097947	0.545826197	6004	5155	0.858594270
case_064	12	32	15.952309938	0.498509686	0	0	32	32	0.239453879	-0.169759301	640	637	0.995312500	32	30	0.937500000	637	544	0.854003140	637	1.842202019	1.272972972	6023	5182	0.860368587
case_065	15	32	4.947318773	0.154603712	1	17	32	32	0.116284984	-0.089127815	640	623	0.973437500	32	30	0.937500000	623	521	0.836276083	623	1.412731006	0.497513439	5767	4920	0.853129877
case_066	16	32	18.718459996	0.584951875	1	13	32	32	0.245158608	-0.153465996	640	635	0.992187500	32	28	0.875000000	635	542	0.853543307	635	1.533758533	1.094634369	5985	5144	0.859482038
case_067	17	32	8.644153372	0.270129793	1	27	32	32	0.171790325	0.050087744	640	639	0.998437500	32	30	0.937500000	639	537	0.840375587	639	1.073926835	0.130985480	6061	5116	0.844085134
case_068	17	32	11.055776410	0.345493013	1	5	32	32	0.169502386	-0.117699593	640	637	0.995312500	32	29	0.906250000	637	508	0.797488226	637	1.603125327	0.978848435	6023	5135	0.852565167
case_069	18	32	17.535640336	0.547988761	1	9	32	32	0.375517067	-0.205346643	640	638	0.996875000	32	28	0.875000000	638	523	0.819749216	638	1.542910656	0.736118830	6042	5131	0.849222112
case_070	24	32	13.288619992	0.415269375	0	0	32	32	0.260210397	-0.255414885	640	627	0.979687500	32	29	0.906250000	627	520	0.829346093	627	1.704183164	1.354226243	5833	4924	0.844162524
case_071	24	32	9.618506261	0.300578321	1	20	32	32	0.206192011	-0.180753877	640	637	0.995312500	32	29	0.906250000	637	530	0.832025118	637	1.469273435	0.781517953	6024	5034	0.835657371
case_072	17	32	5.575100467	0.174221890	1	4	32	32	0.097913501	-0.091552121	640	634	0.990625000	32	31	0.968750000	634	509	0.802839117	634	1.901694754	1.099826623	5967	4989	0.836098542
case_073	15	32	4.711573282	0.147236665	1	18	32	32	0.098663543	-0.088109507	640	637	0.995312500	32	31	0.968750000	637	551	0.864992151	637	1.014861898	0.291069544	6023	5237	0.869500249
case_074	15	32	6.865945628	0.214560801	1	18	32	32	0.157529578	-0.116448873	640	639	0.998437500	32	28	0.875000000	639	549	0.859154930	639	1.897131317	1.350965069	6061	5168	0.852664577
