id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_000	17	32	14.425587365	0.450799605	1	15	32	32	0.281879106	-0.200937854	640	634	0.990625000	32	27	0.843750000	634	498	0.785488959	634	1.660743604	0.923419162	5966	4875	0.817130406
case_001	18	32	14.351665126	0.448489535	1	4	32	32	0.231677057	-0.146562489	640	637	0.995312500	32	29	0.906250000	637	522	0.819466248	637	1.396968004	0.232334315	6023	5111	0.848580442
case_002	19	32	18.003241860	0.562601308	1	3	32	32	0.277190292	-0.233527911	640	639	0.998437500	32	28	0.875000000	639	528	0.826291080	639	1.632758837	1.274317700	6061	5124	0.845405049
case_003	19	32	12.665540196	0.395798131	1	1	32	32	0.256629941	-0.242727451	640	634	0.990625000	32	29	0.906250000	634	463	0.730283912	634	1.632888388	1.071700664	5966	4848	0.812604760
case_004	15	32	24.364979189	0.761405600	1	12	32	32	0.225903562	-0.038518644	640	637	0.995312500	32	28	0.875000000	637	504	0.791208791	637	1.784717966	1.363190143	6023	5051	0.838618629
case_005	14	32	7.036750697	0.219898459	1	7	32	32	0.116018664	-0.096701095	640	632	0.987500000	32	31	0.968750000	632	497	0.786392405	632	2.110548180	1.890768714	5928	4996	0.842780027
case_006	18	32	15.469458976	0.483420593	1	7	32	32	0.204600184	-0.108498327	640	635	0.992187500	32	28	0.875000000	635	514	0.809448819	635	1.299293683	0.658621896	5985	5009	0.836925647
case_007	14	32	16.317609837	0.509925307	1	10	32	32	0.207153997	-0.176399804	640	637	0.995312500	32	31	0.968750000	637	503	0.789638932	637	1.602687894	0.670564328	6023	5026	0.834467873
case_008	20	32	11.104840076	0.347026252	0	0	32	32	0.125739926	-0.065121194	640	638	0.996875000	32	30	0.937500000	638	524	0.821316614	638	1.238112714	0.647910833	6042	5163	0.854518371
case_009	17	32	18.808078974	0.587752468	1	13	32	32	0.327096168	-0.193995712	640	640	1.000000000	32	25	0.781250000	640	488	0.762500000	640	1.745126347	1.335046329	6080	4953	0.814638158
case_010	26	32	8.808145149	0.275254536	1	18	32	32	0.294238252	-0.095421724	640	634	0.990625000	32	28	0.875000000	634	469	0.739747634	634	2.469427296	1.611575883	5966	4803	0.805062018
case_011	21	32	14.653618910	0.457925591	1	1	32	32	0.209803447	-0.132454669	640	639	0.998437500	32	27	0.843750000	639	485	0.758998435	639	1.918145085	1.132733468	6061	4892	0.807127537
case_012	22	32	7.384439595	0.230763737	1	23	32	32	0.184286959	-0.184286939	640	637	0.995312500	32	30	0.937500000	637	459	0.720565149	637	2.212039239	1.629886337	6023	4700	0.780342022
case_013	22	32	3.243500892	0.101359403	1	17	32	32	0.117616522	0.021364193	640	636	0.993750000	32	30	0.937500000	636	475	0.746855346	636	2.443944080	1.546145579	6004	4747	0.790639574
case_014	21	32	11.267124436	0.352097639	1	16	32	32	0.307350405	-0.305470033	640	638	0.996875000	32	30	0.937500000	638	482	0.755485893	638	2.605404923	2.228822148	6042	4856	0.803707382
case_015	22	32	20.435904694	0.638622022	0	0	32	32	0.513366525	-0.494420758	640	636	0.993750000	32	27	0.843750000	636	483	0.759433962	636	2.392406726	1.537531605	6004	4919	0.819287142
case_016	19	32	22.557998621	0.704937457	1	6	32	32	0.560008220	-0.482563658	640	635	0.992187500	32	25	0.781250000	635	478	0.752755906	635	2.265064053	1.420045418	5986	4667	0.779652523
case_017	26	32	12.024388957	0.375762155	1	15	32	32	0.313798578	-0.193635279	640	640	1.000000000	32	28	0.875000000	640	480	0.750000000	640	2.310965592	1.731196475	6080	4875	0.801809211
case_018	25	32	3.890465605	0.121577050	1	30	32	32	0.070124523	-0.047121106	640	639	0.998437500	32	32	1.000000000	639	498	0.779342723	639	2.323982872	1.802879515	6061	4865	0.802672826
case_019	19	32	7.434562873	0.232330090	0	0	32	32	0.167359546	-0.134982851	640	638	0.996875000	32	29	0.906250000	638	477	0.747648903	638	1.884926137	0.416784948	6042	4861	0.804534922
case_020	18	32	15.930091315	0.497815354	1	8	32	32	0.284287150	-0.052834452	640	638	0.996875000	32	28	0.875000000	638	534	0.836990596	638	1.742334719	1.456711114	6042	5191	0.859152598
case_021	18	32	6.580897072	0.205653033	0	0	32	32	0.135333608	-0.130648028	640	630	0.984375000	32	31	0.968750000	630	491	0.779365079	630	1.717728256	1.502993819	5890	4972	0.844142615
case_022	16	32	11.919029063	0.372469658	1	10	32	32	0.205237746	-0.158210890	640	636	0.993750000	32	31	0.968750000	636	534	0.839622642	636	1.832348024	1.516336364	6004	5130	0.854430380
case_023	14	32	7.807270577	0.243977206	1	25	32	32	0.183730324	0.020278447	640	639	0.998437500	32	28	0.875000000	639	537	0.840375587	639	1.730802385	1.281153652	6061	5136	0.847384920
case_024	15	32	27.090733018	0.846585407	1	15	32	32	0.177528146	-0.137342605	640	639	0.998437500	32	29	0.906250000	639	495	0.774647887	639	1.150671727	0.384262724	6061	4977	0.821151625
case_025	20	32	9.566798139	0.298962442	1	8	32	32	0.100492951	-0.076942178	640	634	0.990625000	32	30	0.937500000	634	514	0.810725552	634	1.191522593	0.258565025	5967	5016	0.840623429
case_026	17	32	12.084820406	0.377650638	1	13	32	32	0.315250736	-0.084558843	640	637	0.995312500	32	29	0.906250000	637	470	0.737833595	637	1.731246815	0.496665577	6023	4923	0.817366761
case_027	14	32	22.295923131	0.696747598	1	2	32	32	0.449814285	-0.133240036	640	636	0.993750000	32	27	0.843750000	636	490	0.770440252	636	2.543161975	2.007361386	6004	4871	0.811292472
case_028	16	32	9.835881532	0.307371298	1	15	32	32	0.201681991	-0.083395810	640	636	0.993750000	32	29	0.906250000	636	511	0.803459119	636	1.794576955	1.283544893	6005	4999	0.832472939
case_029	18	32	15.294741506	0.477960672	1	8	32	32	0.177650966	-0.107581988	640	640	1.000000000	32	30	0.937500000	640	522	0.815625000	640	1.562633243	1.118700556	6080	5097	0.838322368
case_030	23	32	10.640308728	0.332509648	1	11	32	32	0.233721741	-0.154372339	640	636	0.993750000	32	30	0.937500000	636	482	0.757861635	636	2.364354242	2.122581030	6004	4826	0.803797468
case_031	22	32	10.381681596	0.324427550	0	0	32	32	0.164980262	-0.085824904	640	636	0.993750000	32	29	0.906250000	636	492	0.773584906	636	1.789334483	1.359411666	6004	4856	0.808794137
case_032	18	32	1.859848598	0.058120269	1	32	32	32	0.039111222	0.004399774	640	637	0.995312500	32	32	1.000000000	637	492	0.772370487	637	2.292126982	1.909108754	6023	4878	0.809895401
case_033	15	32	10.406131572	0.325191612	1	9	32	32	0.350442503	-0.261602927	640	631	0.985937500	32	29	0.906250000	631	490	0.776545166	631	2.677486116	1.885308317	5910	4739	0.801861252
case_034	22	32	7.667379410	0.239605607	1	14	32	32	0.203656219	0.018725010	640	639	0.998437500	32	31	0.968750000	639	475	0.743348983	639	2.328082324	1.456849099	6061	4809	0.793433427
case_035	23	32	3.213787193	0.100430850	1	31	32	32	0.103326813	0.040222980	640	632	0.987500000	32	30	0.937500000	632	503	0.795886076	632	2.244101994	1.898896612	5929	4957	0.836060044
case_036	21	32	4.672122408	0.146003825	1	24	32	32	0.084710224	-0.051440550	640	637	0.995312500	32	30	0.937500000	637	488	0.766091052	637	2.815766517	2.596092167	6023	4919	0.816702640
case_037	18	32	11.641052824	0.363782901	1	4	32	32	0.278814882	-0.251851705	640	636	0.993750000	32	29	0.906250000	636	489	0.768867925	636	2.420070740	1.993849113	6004	4976	0.828780813
case_038	26	32	5.945342798	0.185791962	1	20	32	32	0.142943631	-0.132727429	640	637	0.995312500	32	31	0.968750000	637	489	0.767660911	637	1.940685260	1.239642677	6023	4876	0.809563341
case_039	23	32	5.763855171	0.180120474	0	0	32	32	0.118943792	0.010190397	640	640	1.000000000	32	31	0.968750000	640	463	0.723437500	640	2.860005726	2.420961998	6080	4802	0.789802632
case_040	21	32	7.882473219	0.246327288	0	0	32	32	0.150598352	0.015938613	640	639	0.998437500	32	29	0.906250000	639	505	0.790297340	639	2.252904757	1.978688286	6061	5075	0.837320574
case_041	15	32	22.793091572	0.712284112	0	0	32	32	0.426103626	-0.315031475	640	640	1.000000000	32	26	0.812500000	640	496	0.775000000	640	1.695153715	0.987546002	6080	5009	0.823848684
case_042	14	32	16.616437199	0.519263662	1	6	32	32	0.262301572	-0.198484687	640	638	0.996875000	32	28	0.875000000	638	531	0.832288401	638	1.669570983	1.350607584	6042	5100	0.844091360
case_043	18	32	8.583429806	0.268232181	0	0	32	32	0.230379481	-0.211987246	640	628	0.981250000	32	31	0.968750000	628	473	0.753184713	628	2.503877681	2.286612020	5852	4727	0.807758031
case_044	20	32	17.699928894	0.553122778	1	4	32	32	0.283751011	-0.167683247	640	636	0.993750000	32	29	0.906250000	636	508	0.798742138	636	1.339650695	0.748550366	6004	4927	0.820619587
case_045	18	32	18.432555870	0.576017371	1	15	32	32	0.127409215	-0.035784773	640	639	0.998437500	32	28	0.875000000	639	498	0.779342723	639	1.604572649	1.008529018	6061	4951	0.816861904
case_046	19	32	3.720634102	0.116269816	1	17	32	32	0.113688350	-0.032980924	640	633	0.989062500	32	30	0.937500000	633	515	0.813586098	633	1.641168879	1.139209709	5947	4931	0.829157558
case_047	16	32	14.991936336	0.468498010	1	4	32	32	0.118328030	-0.090913561	640	635	0.992187500	32	29	0.906250000	635	476	0.749606299	635	2.221197336	1.142971308	5985	4739	0.791812865
case_048	18	32	13.062031815	0.408188494	1	1	32	32	0.180589185	-0.060256516	640	639	0.998437500	32	30	0.937500000	639	482	0.754303599	639	1.755514605	0.745278640	6061	4871	0.803662762
case_049	18	32	12.224623584	0.382019487	1	14	32	32	0.375458736	0.000272222	640	639	0.998437500	32	27	0.843750000	639	502	0.785602504	639	1.736896840	-0.772052274	6061	4942	0.815377000
case_050	27	32	10.837469663	0.338670927	0	0	32	32	0.280936655	-0.199230816	640	638	0.996875000	32	28	0.875000000	638	462	0.724137931	638	3.168207752	2.710524022	6042	4852	0.803045349
case_051	21	32	12.928615902	0.404019247	1	17	32	32	0.169105308	-0.157989580	640	634	0.990625000	32	28	0.875000000	634	497	0.783911672	634	2.097469985	0.947421817	5969	4797	0.803652203
case_052	19	32	9.350711540	0.292209736	1	20	32	32	0.228193978	-0.210841142	640	639	0.998437500	32	28	0.875000000	639	510	0.798122066	639	1.828905866	1.081058216	6061	4999	0.824781389
case_053	22	32	7.218775394	0.225586731	1	6	32	32	0.164478471	-0.055568441	640	632	0.987500000	32	29	0.906250000	632	484	0.765822785	632	1.848518664	1.372849976	5928	4835	0.815620783
case_054	24	32	2.709369626	0.084667801	1	26	32	32	0.047768450	-0.030359638	640	640	1.000000000	32	31	0.968750000	640	501	0.782812500	640	2.045360972	1.451316332	6080	5030	0.827302632
case_055	25	32	9.458114155	0.295566067	1	19	32	32	0.265720698	-0.204187875	640	639	0.998437500	32	28	0.875000000	639	461	0.721439750	639	3.017833990	2.331929593	6061	4598	0.758620690
case_056	18	32	2.475691941	0.077365373	1	17	32	32	0.109995186	0.066493241	640	639	0.998437500	32	32	1.000000000	639	506	0.791862285	639	2.482020320	1.930365202	6061	4939	0.814882033
case_057	22	32	10.421799569	0.325681237	0	0	32	32	0.215886708	-0.180712394	640	638	0.996875000	32	27	0.843750000	638	462	0.724137931	638	2.575691396	2.020388903	6042	4817	0.797252565
case_058	25	32	8.949153111	0.279661035	1	3	32	32	0.212118468	-0.211856269	640	639	0.998437500	32	29	0.906250000	639	484	0.757433490	639	2.922377749	2.583119904	6061	4845	0.799373041
case_059	23	32	10.983313370	0.343228543	1	7	32	32	0.199094304	-0.012110043	640	636	0.993750000	32	29	0.906250000	636	469	0.737421384	636	2.544498472	2.150649665	6010	4899	0.815141431
case_060	17	32	5.913408322	0.184794010	0	0	32	32	0.133416205	-0.130269546	640	625	0.976562500	32	32	1.000000000	625	480	0.768000000	625	3.328407414	3.288757082	5795	4666	0.805176877
case_061	16	32	9.038185183	0.282443287	1	24	32	32	0.227049911	0.036167143	640	635	0.992187500	32	29	0.906250000	635	545	0.858267717	635	1.568423716	1.181561030	5986	5149	0.860173739
case_062	14	32	12.860215428	0.401881732	0	0	32	32	0.251158959	-0.226036541	640	632	0.987500000	32	27	0.843750000	632	464	0.734177215	632	3.287771474	3.025897063	5928	4781	0.806511471
case_063	15	32	13.411106890	0.419097090	1	9	32	32	0.236245196	-0.234620537	640	636	0.993750000	32	30	0.937500000	636	513	0.806603774	636	1.413701788	0.739482184	6004	5072	0.844770153
case_064	12	32	15.840034130	0.495001067	0	0	32	32	0.240394865	-0.166250682	640	637	0.995312500	32	30	0.937500000	637	535	0.839874411	637	2.165971404	1.746856435	6023	5071	0.841939233
case_065	15	32	7.500866353	0.234402074	1	1	32	32	0.190691292	-0.168926177	640	623	0.973437500	32	31	0.968750000	623	504	0.808988764	623	1.718835230	0.909955347	5767	4834	0.838217444
case_066	16	32	17.216263455	0.538008233	1	13	32	32	0.239937861	-0.106522354	640	635	0.992187500	32	27	0.843750000	635	536	0.844094488	635	1.804200820	1.430235203	5985	5015	0.837928154
case_067	17	32	9.676862354	0.302401949	1	27	32	32	0.117509827	0.017815588	640	639	0.998437500	32	30	0.937500000	639	519	0.812206573	639	1.281748015	0.576860033	6061	5042	0.831875928
case_068	17	32	12.751960117	0.398498754	1	5	32	32	0.208408769	-0.170705334	640	637	0.995312500	32	29	0.906250000	637	496	0.778649922	637	1.726456692	1.317912881	6023	5023	0.833969783
case_069	18	32	16.446705598	0.513959550	1	9	32	32	0.336592921	-0.171317433	640	638	0.996875000	32	29	0.906250000	638	492	0.771159875	638	1.825411367	0.961685395	6042	5016	0.830188679
case_070	24	32	16.086874422	0.502714826	0	0	32	32	0.346806092	-0.342860336	640	627	0.979687500	32	27	0.843750000	627	486	0.775119617	627	2.287583852	1.968673221	5833	4750	0.814332248
case_071	24	32	11.934466602	0.372952081	1	20	32	32	0.277464743	-0.253127637	640	637	0.995312500	32	29	0.906250000	637	498	0.781789639	637	2.281874234	1.677983586	6024	4882	0.810424967
case_072	17	32	6.443848319	0.201370260	0	0	32	32	0.122202035	-0.118700492	640	634	0.990625000	32	29	0.906250000	634	467	0.736593060	634	2.994292376	2.536473039	5967	4754	0.796715267
case_073	15	32	6.345601021	0.198300032	1	18	32	32	0.148091170	-0.139172874	640	637	0.995312500	32	31	0.968750000	637	519	0.814756672	637	1.745489645	1.184032410	6023	5020	0.833471692
case_074	15	32	9.764411288	0.305137853	1	18	32	32	0.247931176	-0.207025925	640	639	0.998437500	32	28	0.875000000	639	516	0.807511737	639	2.979662628	2.446954640	6061	4893	0.807292526
case_075	16	32	8.752144479	0.273504515	1	20	32	32	0.248096703	-0.172706542	640	637	0.995312500	32	28	0.875000000	637	517	0.811616954	637	2.302178958	1.760351268	6023	5030	0.835131994
case_076	22	32	5.995129495	0.187347797	1	4	32	32	0.129327907	-0.113977126	640	639	0.998437500	32	30	0.937500000	639	480	0.751173709	639	1.913667278	0.866693422	6061	4932	0.813727108
case_077	24	32	7.804902768	0.243903212	1	9	32	32	0.211882150	-0.059024115	640	637	0.995312500	32	29	0.906250000	637	480	0.753532182	637	2.366836679	1.785889775	6023	4815	0.799435497
case_078	28	32	17.968322733	0.561510085	0	0	32	32	0.516449015	-0.424098067	640	640	1.000000000	32	26	0.812500000	640	481	0.751562500	640	2.299423928	1.472276498	6080	4891	0.804440789
case_079	20	32	20.746432026	0.648326001	1	14	32	32	0.419074342	-0.330005476	640	639	0.998437500	32	28	0.875000000	639	472	0.738654147	639	2.675770861	1.983932568	6061	4842	0.798878073
case_080	13	32	22.724653330	0.710145417	1	11	32	32	0.619245303	-0.349114259	640	634	0.990625000	32	29	0.906250000	634	454	0.716088328	634	2.291570988	1.539066053	5966	4679	0.784277573
case_081	13	32	31.631227015	0.988475844	0	0	32	32	0.499132644	-0.362566631	640	639	0.998437500	32	25	0.781250000	639	517	0.809076682	639	1.385234230	0.492341016	6061	4824	0.795908266
case_082	16	32	3.381110628	0.105659707	1	32	32	32	0.160518652	0.052723976	640	628	0.981250000	32	29	0.906250000	628	492	0.783439490	628	2.662313029	1.758665890	5852	4764	0.814080656
case_083	19	17	0.000129905	0.000007641	1	17	17	17	0.000007348	-0.000006772	340	329	0.967647059	17	17	1.000000000	329	259	0.787234043	329	2.541767945	2.272246159	3022	2495	0.825612177
case_084	23	11	0.000746655	0.000067878	1	11	11	11	0.000066784	-0.000066783	220	209	0.950000000	11	11	1.000000000	209	166	0.794258373	209	3.151191718	3.015724922	1882	1465	0.778427205
case_085	18	32	10.432834515	0.326026079	1	13	32	32	0.236288548	-0.163548163	640	631	0.985937500	32	28	0.875000000	631	480	0.760697306	631	2.889726310	2.444755401	5912	4823	0.815798376
case_086	16	32	18.458999544	0.576843736	1	17	32	32	0.324118995	-0.193131260	640	631	0.985937500	32	27	0.843750000	631	508	0.805071315	631	2.057181081	1.472674142	5909	4809	0.813843290
case_087	12	32	11.703240116	0.365726254	1	3	32	32	0.231416527	-0.188053186	640	632	0.987500000	32	29	0.906250000	632	512	0.810126582	632	2.318511474	1.933034437	5928	4896	0.825910931
case_088	14	32	16.599910852	0.518747214	0	0	32	32	0.279688764	-0.147111795	640	637	0.995312500	32	25	0.781250000	637	491	0.770800628	637	1.712756409	1.035787993	6023	4869	0.808401129
case_089	12	32	4.186936183	0.130841756	1	29	32	32	0.164774260	0.038446024	640	632	0.987500000	32	29	0.906250000	632	527	0.833860759	632	1.547437760	0.839097349	5928	4903	0.827091768
case_090	17	32	12.538535043	0.391829220	1	14	32	32	0.124321152	-0.052377480	640	632	0.987500000	32	31	0.968750000	632	527	0.833860759	632	1.650563813	1.203478734	5928	4992	0.842105263
case_091	14	32	6.281775748	0.196305492	1	30	32	32	0.159886124	0.061838956	640	635	0.992187500	32	31	0.968750000	635	491	0.773228346	635	2.317094788	1.896990643	5985	4977	0.831578947
case_092	15	32	9.073242419	0.283538826	1	1	32	32	0.162493002	-0.124119383	640	628	0.981250000	32	31	0.968750000	628	516	0.821656051	628	2.040151871	1.743936622	5852	4928	0.842105263
case_093	17	32	13.256548739	0.414267148	1	12	32	32	0.237572007	-0.195431024	640	638	0.996875000	32	26	0.812500000	638	528	0.827586207	638	1.499177950	1.090343573	6042	5088	0.842105263
case_094	16	1	0.000064282	0.000064282	1	1	1	1	0.000451642	0.000451642	20	20	1.000000000	1	1	1.000000000	20	15	0.750000000	20	1.977878836	1.003838440	190	132	0.694736842
case_095	17	2	0.011662540	0.005831270	1	2	2	2	0.007242778	0.007234368	40	39	0.975000000	2	2	1.000000000	39	27	0.692307692	39	1.143006194	0.132264272	361	286	0.792243767
case_096	15	5	0.000053710	0.000010742	1	5	5	5	0.000007602	-0.000007190	100	96	0.960000000	5	5	1.000000000	96	70	0.729166667	96	2.272760261	-1.912648347	874	706	0.807780320
