id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_000	17	32	14.886010312	0.465187822	1	21	32	32	0.323088654	-0.215326071	640	634	0.990625000	32	28	0.875000000	634	522	0.823343849	634	1.370336738	0.274464639	5966	4960	0.831377808
case_001	18	32	13.671992249	0.427249758	1	4	32	32	0.219141582	-0.125322712	640	637	0.995312500	32	30	0.937500000	637	530	0.832025118	637	1.272658518	0.151471369	6023	5171	0.858542255
case_002	19	32	17.878946205	0.558717069	1	3	32	32	0.272834957	-0.229643672	640	639	0.998437500	32	28	0.875000000	639	540	0.845070423	639	1.334584970	1.009364456	6061	5232	0.863223890
case_003	19	32	10.881328591	0.340041518	1	1	32	32	0.208974046	-0.186970838	640	634	0.990625000	32	30	0.937500000	634	505	0.796529968	634	1.275917317	0.562237668	5966	4955	0.830539725
case_004	15	32	24.741386733	0.773168335	1	16	32	32	0.198094260	-0.050281380	640	637	0.995312500	32	29	0.906250000	637	516	0.810047096	637	1.519803984	1.185928094	6023	5187	0.861198738
case_005	14	32	5.381051493	0.168157859	1	7	32	32	0.083354651	-0.044960495	640	632	0.987500000	32	31	0.968750000	632	508	0.803797468	632	1.685381489	1.410464761	5928	5093	0.859143050
case_006	18	32	17.072232482	0.533507265	1	7	32	32	0.207057795	-0.158584999	640	635	0.992187500	32	29	0.906250000	635	535	0.842519685	635	1.062775348	0.269221300	5985	5126	0.856474520
case_007	14	32	17.109833670	0.534682302	1	10	32	32	0.279537846	-0.201156799	640	637	0.995312500	32	31	0.968750000	637	527	0.827315542	637	1.465332179	0.314174065	6023	5135	0.852565167
case_008	20	32	10.722888289	0.335090259	0	0	32	32	0.079119669	-0.053185201	640	638	0.996875000	32	31	0.968750000	638	534	0.836990596	638	1.096139489	0.514737127	6042	5175	0.856504469
case_009	17	32	18.330610473	0.572831577	0	0	32	32	0.299388619	-0.179074822	640	640	1.000000000	32	25	0.781250000	640	502	0.784375000	640	1.367078080	0.882262052	6080	5059	0.832072368
case_010	26	32	12.445093386	0.388909168	1	7	32	32	0.411388322	-0.209076356	640	634	0.990625000	32	27	0.843750000	634	511	0.805993691	634	1.694698645	0.276253146	5966	5011	0.839926249
case_011	21	32	18.896757807	0.590523681	1	1	32	32	0.300919963	-0.265052759	640	639	0.998437500	32	28	0.875000000	639	538	0.841940532	639	1.488408577	0.870566676	6061	5082	0.838475499
case_012	22	32	4.315136538	0.134848017	1	23	32	32	0.093195738	-0.088371219	640	637	0.995312500	32	30	0.937500000	637	495	0.777080063	637	1.856996006	1.081126215	6023	4872	0.808899220
case_013	22	32	3.033285709	0.094790178	1	17	32	32	0.095088901	0.027933417	640	636	0.993750000	32	31	0.968750000	636	513	0.806603774	636	1.685218542	0.567477717	6004	4954	0.825116589
case_014	21	32	9.730075441	0.304064858	1	4	32	32	0.259081584	-0.257437252	640	638	0.996875000	32	29	0.906250000	638	523	0.819749216	638	2.109364261	1.778290206	6042	4991	0.826050976
case_015	22	32	14.934047646	0.466688989	0	0	32	32	0.338021324	-0.322487726	640	636	0.993750000	32	27	0.843750000	636	522	0.820754717	636	1.583143472	0.589414531	6004	5105	0.850266489
case_016	19	32	22.651007692	0.707843990	1	6	32	32	0.509544347	-0.485470192	640	635	0.992187500	32	26	0.812500000	635	522	0.822047244	635	1.751266009	0.601825450	5986	4915	0.821082526
case_017	26	32	8.701908736	0.271934648	1	15	32	32	0.166264063	-0.089807772	640	640	1.000000000	32	29	0.906250000	640	512	0.800000000	640	1.703093375	0.889431774	6080	5033	0.827796053
case_018	25	32	3.599692821	0.112490401	1	30	32	32	0.061342969	-0.038034456	640	639	0.998437500	32	32	1.000000000	639	538	0.841940532	639	1.602528954	1.019974860	6061	5033	0.830391025
case_019	19	32	6.712695246	0.209771726	0	0	32	32	0.139972663	-0.112424488	640	638	0.996875000	32	30	0.937500000	638	508	0.796238245	638	1.859973668	-0.557722491	6042	5043	0.834657398
case_020	18	32	14.290140715	0.446566897	1	8	32	32	0.228090228	-0.001585996	640	638	0.996875000	32	29	0.906250000	638	534	0.836990596	638	1.493789678	1.209919912	6042	5294	0.876199934
case_021	18	32	6.921466813	0.216295838	0	0	32	32	0.143456848	-0.141290832	640	630	0.984375000	32	29	0.906250000	630	508	0.806349206	630	1.498726869	1.190182966	5890	4996	0.848217317
case_022	16	32	12.688046428	0.396501451	1	10	32	32	0.239712481	-0.182242683	640	636	0.993750000	32	31	0.968750000	636	543	0.853773585	636	1.552237424	1.201002503	6004	5253	0.874916722
case_023	14	32	6.944667158	0.217020849	1	18	32	32	0.166623990	0.047234803	640	639	0.998437500	32	29	0.906250000	639	557	0.871674491	639	1.323282806	0.798796580	6061	5208	0.859264148
case_024	15	32	27.006108933	0.843940904	1	15	32	32	0.170535976	-0.134698102	640	639	0.998437500	32	29	0.906250000	639	499	0.780907668	639	1.106500737	0.249938686	6061	5017	0.827751196
case_025	20	32	8.380373530	0.261886673	1	8	32	32	0.061869961	-0.039866409	640	634	0.990625000	32	32	1.000000000	634	539	0.850157729	634	1.013572410	-0.217044055	5966	5122	0.858531680
case_026	17	32	12.121420806	0.378794400	1	13	32	32	0.355619595	-0.085702605	640	637	0.995312500	32	28	0.875000000	637	494	0.775510204	637	1.706355457	0.774645413	6023	4949	0.821683546
case_027	14	32	20.025215912	0.625787997	1	2	32	32	0.392931577	-0.062280435	640	636	0.993750000	32	27	0.843750000	636	503	0.790880503	636	2.080191711	1.562459924	6004	4947	0.823950700
case_028	16	32	10.993814217	0.343556694	1	15	32	32	0.225076670	-0.119581207	640	636	0.993750000	32	29	0.906250000	636	532	0.836477987	636	1.522958511	0.690942293	6005	5156	0.858617818
case_029	18	32	16.267447849	0.508357745	1	14	32	32	0.174364674	-0.137979061	640	640	1.000000000	32	29	0.906250000	640	529	0.826562500	640	1.400574524	1.002233067	6080	5190	0.853618421
case_030	23	32	8.561377953	0.267543061	1	11	32	32	0.163111104	-0.089405752	640	636	0.993750000	32	30	0.937500000	636	524	0.823899371	636	1.800753966	1.390109536	6004	4974	0.828447702
case_031	22	32	11.687502940	0.365234467	1	4	32	32	0.181388508	-0.126631821	640	636	0.993750000	32	30	0.937500000	636	533	0.838050314	636	1.305726921	0.753637435	6004	5050	0.841105929
case_032	18	32	2.647901369	0.082746918	1	31	32	32	0.077222349	-0.020226875	640	637	0.995312500	32	31	0.968750000	637	531	0.833594976	637	1.506527405	1.120371894	6023	5103	0.847252200
case_033	15	32	5.484257364	0.171383043	1	9	32	32	0.207822907	-0.107794358	640	631	0.985937500	32	30	0.937500000	631	536	0.849445325	631	1.604425266	0.611059928	5910	5015	0.848561760
case_034	22	32	7.168027895	0.224000872	1	14	32	32	0.197002634	0.034329745	640	639	0.998437500	32	31	0.968750000	639	503	0.787167449	639	1.717883484	1.061206374	6061	5008	0.826266293
case_035	23	32	3.298433626	0.103076051	1	12	32	32	0.085494184	0.037577779	640	632	0.987500000	32	29	0.906250000	632	546	0.863924051	632	1.351015799	0.840139992	5929	5143	0.867431270
case_036	21	32	2.171892377	0.067871637	1	32	32	32	0.073282789	0.026691639	640	637	0.995312500	32	30	0.937500000	637	528	0.828885400	637	1.960578148	1.723858477	6023	5068	0.841441142
case_037	18	32	12.770660624	0.399083145	1	4	32	32	0.290569888	-0.287151949	640	636	0.993750000	32	30	0.937500000	636	512	0.805031447	636	1.515070725	0.821804067	6004	5182	0.863091272
case_038	26	32	6.118227072	0.191194596	1	20	32	32	0.149230601	-0.138130063	640	637	0.995312500	32	31	0.968750000	637	507	0.795918367	637	1.423507547	0.368035426	6023	4976	0.826166362
